movie_id,primary_title,genres,individual_genre,runtime_minutes,title,studio,domestic_gross,foreign_gross,year,averagerating,numvotes,director_id,director_name,total_gross
tt1845872,The Measure of a Man,Drama,Drama,,The Measure of a Man,KL,112000.0,0.0,2016,7.3,95,nm4337166,Elizabeth Waite,112000.0
tt4428814,The Measure of a Man,Drama,Drama,91.0,The Measure of a Man,KL,112000.0,0.0,2016,6.8,5048,nm0110300,Stéphane Brizé,112000.0
tt1846589,Hunter Killer,"Action,Thriller",Action,122.0,Hunter Killer,LG/S,15800000.0,0.0,2018,6.6,33983,nm1804518,Donovan Marsh,15800000.0
tt1846589,Hunter Killer,"Action,Thriller",Thriller,122.0,Hunter Killer,LG/S,15800000.0,0.0,2018,6.6,33983,nm1804518,Donovan Marsh,15800000.0
tt1847713,The Guillotines,"Action,Drama",Action,112.0,The Guillotines,WGUSA,5300.0,0.0,2013,4.8,1213,nm0490487,Andrew Lau Wai-Keung,5300.0
tt1847713,The Guillotines,"Action,Drama",Drama,112.0,The Guillotines,WGUSA,5300.0,0.0,2013,4.8,1213,nm0490487,Andrew Lau Wai-Keung,5300.0
tt1847746,The German Doctor,"Drama,History,Thriller",Drama,93.0,The German Doctor,Gold.,418000.0,2600000.0,2014,6.8,5799,nm0699932,Lucía Puenzo,3018000.0
tt1847746,The German Doctor,"Drama,History,Thriller",History,93.0,The German Doctor,Gold.,418000.0,2600000.0,2014,6.8,5799,nm0699932,Lucía Puenzo,3018000.0
tt1847746,The German Doctor,"Drama,History,Thriller",Thriller,93.0,The German Doctor,Gold.,418000.0,2600000.0,2014,6.8,5799,nm0699932,Lucía Puenzo,3018000.0
tt1849718,Agneepath,"Action,Drama",Action,174.0,Agneepath,Eros,2000000.0,0.0,2012,7.0,20384,nm1633551,Karan Malhotra,2000000.0
tt1849718,Agneepath,"Action,Drama",Drama,174.0,Agneepath,Eros,2000000.0,0.0,2012,7.0,20384,nm1633551,Karan Malhotra,2000000.0
tt1850397,The Loft,"Mystery,Romance,Thriller",Mystery,108.0,The Loft,ORF,6000000.0,4099999.0,2015,6.3,46961,nm0887452,Erik Van Looy,10099999.0
tt1850397,The Loft,"Mystery,Romance,Thriller",Romance,108.0,The Loft,ORF,6000000.0,4099999.0,2015,6.3,46961,nm0887452,Erik Van Looy,10099999.0
tt1850397,The Loft,"Mystery,Romance,Thriller",Thriller,108.0,The Loft,ORF,6000000.0,4099999.0,2015,6.3,46961,nm0887452,Erik Van Looy,10099999.0
tt1850457,Sisters,Comedy,Comedy,118.0,Sisters,Uni.,87000000.0,18000000.0,2015,6.0,58994,nm0601337,Jason Moore,105000000.0
tt2612800,Sisters,Drama,Drama,84.0,Sisters,Uni.,87000000.0,18000000.0,2015,5.7,37,nm0928316,Anne Wild,105000000.0
tt9851050,Sisters,"Action,Drama",Action,,Sisters,Uni.,87000000.0,18000000.0,2015,4.7,14,nm1272773,Prachya Pinkaew,105000000.0
tt9851050,Sisters,"Action,Drama",Drama,,Sisters,Uni.,87000000.0,18000000.0,2015,4.7,14,nm1272773,Prachya Pinkaew,105000000.0
tt1853614,A Letter to Momo,"Adventure,Animation,Comedy",Adventure,120.0,A Letter to Momo,GK,71700.0,6700000.0,2014,7.3,5741,nm0645657,Hiroyuki Okiura,6771700.0
tt1853614,A Letter to Momo,"Adventure,Animation,Comedy",Animation,120.0,A Letter to Momo,GK,71700.0,6700000.0,2014,7.3,5741,nm0645657,Hiroyuki Okiura,6771700.0
tt1853614,A Letter to Momo,"Adventure,Animation,Comedy",Comedy,120.0,A Letter to Momo,GK,71700.0,6700000.0,2014,7.3,5741,nm0645657,Hiroyuki Okiura,6771700.0
tt1853728,Django Unchained,"Drama,Western",Drama,165.0,Django Unchained,Wein.,162800000.0,262600000.0,2012,8.4,1211405,nm0000233,Quentin Tarantino,425400000.0
tt1853728,Django Unchained,"Drama,Western",Western,165.0,Django Unchained,Wein.,162800000.0,262600000.0,2012,8.4,1211405,nm0000233,Quentin Tarantino,425400000.0
tt1853739,You're Next,"Action,Comedy,Horror",Action,95.0,You're Next,LGF,18500000.0,0.0,2013,6.6,79451,nm1417392,Adam Wingard,18500000.0
tt1853739,You're Next,"Action,Comedy,Horror",Comedy,95.0,You're Next,LGF,18500000.0,0.0,2013,6.6,79451,nm1417392,Adam Wingard,18500000.0
tt1853739,You're Next,"Action,Comedy,Horror",Horror,95.0,You're Next,LGF,18500000.0,0.0,2013,6.6,79451,nm1417392,Adam Wingard,18500000.0
tt1854513,Blancanieves,"Drama,Fantasy",Drama,104.0,Blancanieves,Cohen,280000.0,0.0,2013,7.6,9746,nm0074311,Pablo Berger,280000.0
tt1854513,Blancanieves,"Drama,Fantasy",Fantasy,104.0,Blancanieves,Cohen,280000.0,0.0,2013,7.6,9746,nm0074311,Pablo Berger,280000.0
tt1854564,Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy",Adventure,106.0,Percy Jackson: Sea of Monsters,Fox,68600000.0,131300000.0,2013,5.8,102313,nm0294457,Thor Freudenthal,199900000.0
tt1854564,Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy",Family,106.0,Percy Jackson: Sea of Monsters,Fox,68600000.0,131300000.0,2013,5.8,102313,nm0294457,Thor Freudenthal,199900000.0
tt1854564,Percy Jackson: Sea of Monsters,"Adventure,Family,Fantasy",Fantasy,106.0,Percy Jackson: Sea of Monsters,Fox,68600000.0,131300000.0,2013,5.8,102313,nm0294457,Thor Freudenthal,199900000.0
tt1855199,End of Watch,"Action,Crime,Drama",Action,109.0,End of Watch,ORF,41000000.0,7100000.0,2012,7.6,211308,nm0043742,David Ayer,48100000.0
tt1855199,End of Watch,"Action,Crime,Drama",Crime,109.0,End of Watch,ORF,41000000.0,7100000.0,2012,7.6,211308,nm0043742,David Ayer,48100000.0
tt1855199,End of Watch,"Action,Crime,Drama",Drama,109.0,End of Watch,ORF,41000000.0,7100000.0,2012,7.6,211308,nm0043742,David Ayer,48100000.0
tt1855236,Just Like a Woman,Drama,Drama,87.0,Just Like a Woman,Cohen,11400.0,0.0,2013,5.5,2447,nm0098953,Rachid Bouchareb,11400.0
